 order_id, shop_id, shop_category,-, user_historical_order,status, pay_type,original_price,price_after_restaurant_promotion,realpay_price, total_delivery_price, ata, eta, coupon_batch_id
a3657,7800,Pollo,5861,6,Completed,1,25550,18430,18430,3100,187,44,null
a5198,1100,Pizza,5323,5,Completed,2,29900,33100,29900,3200,167,54,55226944
a3135,6700,Burger,2649,2,Completed,2,5000,8000,5000,3000,188,77,55226944
a4044,2600,Gorditas,3733,2,Completed,1,8600,10400,900,1800,135,25,55226350
a1922,5600,Ice Creame,8740,2,Completed,1,19600,14860,11760,3100,151,41,55226944
a1435,4800,Coffee,8491,1,Completed,2,11000,13300,4300,2300,143,34,55223398
a2784,6800,Bakery,4055,6,Completed,1,34400,28560,18560,2000,145,39,55179740
a4562,5700,Tacos,1393,2,Completed,2,3500,5260,5260,2600,149,44,null
a4727,6100,Coffee,8695,5,Completed,2,2000,2600,2600,1500,129,26,null
a1939,4000,Gorditas,2601,1,Completed,2,22400,25200,17200,2800,140,40,55226502
a1779,7400,Burrito,3039,3,Completed,2,24700,17000,17000,2200,142,45,null
a1762,8300,Burger,6881,1,Completed,2,26000,23400,17900,2600,128,52,55226842
a3676,7400,Pizza,6079,5,Completed,1,61000,33600,30600,3100,132,56,55222722
a1798,6400,Tacos,6006,null,Completed,1,22500,25200,25200,2700,124,49,null
a1231,9800,Burger,9454,1,Completed,2,14000,16700,12700,2700,108,38,55226840
a2932,6900,Pollo,9796,2,Completed,1,52500,33475,29775,3700,118,49,55226944
a2511,8700,Pizza,3180,1,Completed,2,13900,16700,8700,2800,104,40,55226502
a2047,7700,Drinks,7842,9,Completed,2,16200,17700,17700,1500,85,25,null
a2622,7600,Pizza,8650,3,Completed,1,8500,10500,10500,2000,116,56,null
a1497,7600,Pizza,2754,15,Completed,1,12500,14500,14500,2000,115,55,null
a2396,7600,Pizza,6104,1,Completed,2,17000,19000,13900,2000,115,55,55226850
a5301,9300,Burger,5558,5,Completed,2,25200,15400,12320,2800,103,49,55179736
a3555,6400,Pozole,7323,5,Completed,1,8500,11000,8500,2500,95,45,55226944
